Time(s),Veh_Speed,Est_Veh_Speed,W0_Speed,W1_Speed,W2_Speed,W3_Speed,P0,P1,P2,P3,S0,S1,S2,S3,ABS_Active
1.020,22.560,6.969,6.750,6.750,6.750,6.750,100.000,100.000,100.000,100.000,0,0,0,0,0
1.040,22.400,6.311,6.250,6.250,6.250,6.250,100.000,100.000,100.000,100.000,0,0,0,0,0
1.060,22.240,5.770,5.750,5.750,5.750,5.750,100.000,100.000,100.000,100.000,0,0,0,0,0
1.080,22.080,5.329,5.250,5.250,5.250,5.250,100.000,100.000,100.000,100.000,0,0,0,0,0
1.100,21.920,4.613,4.750,4.750,4.750,4.750,100.000,100.000,100.000,100.000,0,0,0,0,0
1.120,21.760,4.337,4.250,4.250,4.250,4.250,100.000,100.000,100.000,100.000,0,0,0,0,0
1.140,21.600,3.767,3.750,3.750,3.750,3.750,100.000,100.000,100.000,100.000,0,0,0,0,0
1.160,21.440,3.298,3.250,3.250,3.250,3.250,100.000,100.000,100.000,100.000,0,0,0,0,0
1.180,21.280,2.693,2.750,2.750,2.750,2.750,100.000,100.000,100.000,100.000,0,0,0,0,0
1.200,21.120,2.477,2.250,2.250,2.250,2.250,100.000,100.000,100.000,100.000,0,0,0,0,0
1.220,20.960,1.975,1.750,1.750,1.750,1.750,100.000,100.000,100.000,100.000,0,0,0,0,0
1.240,20.800,1.286,1.250,1.250,1.250,1.250,90.000,100.000,90.000,100.000,1,0,1,0,1
1.260,20.648,1.001,1.100,0.750,1.100,0.750,100.000,90.000,100.000,90.000,0,1,0,1,1
